"time","territoryFullName","territoryName","territoryKey","totalMandates","availableMandates","numParishes","numParishesApproved","blankVotes","blankVotesPercentage","nullVotes","nullVotesPercentage","votersPercentage","subscribedVoters","totalVoters","pre.totalMandates","pre.availableMandates","pre.blankVotes","pre.blankVotesPercentage","pre.nullVotes","pre.nullVotesPercentage","pre.votersPercentage","pre.subscribedVoters","pre.totalVoters"
"2019-10-06 18:56:26","Território Nacional","Território Nacional","LOCAL-500000",226,0,3092,3092,112666,2.09,86473,1.61,57,9439701,5380451,226,0,148118,2.67,75298,1.36,58.92,9429024,5555535
"2019-10-06 18:56:26","Açores","Açores","LOCAL-400000",5,0,156,156,3047,3.25,1583,1.69,41.22,227546,93803,5,0,3250,3.6,912,1.01,40.65,222247,90347
"2019-10-06 18:56:26","Aveiro","Aveiro","LOCAL-010000",16,0,147,147,9163,2.49,6130,1.67,56.31,653597,368071,16,0,11046,2.87,4757,1.24,59.01,651367,384346
"2019-10-06 18:56:26","Beja","Beja","LOCAL-020000",3,0,75,75,1230,1.65,1132,1.52,57.77,128926,74485,3,0,1697,2.27,1017,1.36,55.17,135739,74882
"2019-10-06 18:56:26","Braga","Braga","LOCAL-030000",19,0,347,347,10708,2.26,6112,1.29,60.21,787768,474341,19,0,12825,2.64,5270,1.09,62.63,775167,485460
"2019-10-06 18:56:26","Bragança","Bragança","LOCAL-040000",3,0,226,226,1189,1.71,1408,2.02,47.23,147465,69644,3,0,1428,1.89,1107,1.46,49.13,153945,75628
"2019-10-06 18:56:26","Castelo Branco","Castelo Branco","LOCAL-050000",4,0,120,120,2091,2.01,2167,2.08,57.46,181378,104223,4,0,2948,2.68,1934,1.76,57.64,191043,110118
"2019-10-06 18:56:26","Coimbra","Coimbra","LOCAL-060000",9,0,155,155,5929,2.69,3536,1.61,56.33,390947,220211,9,0,8160,3.6,3101,1.37,57.39,395231,226833
"2019-10-06 18:56:26","Évora","Évora","LOCAL-070000",3,0,69,69,1421,1.68,1079,1.28,59.9,141258,84617,3,0,1839,2.14,1050,1.22,59,145929,86102
"2019-10-06 18:56:26","Faro","Faro","LOCAL-080000",9,0,67,67,4286,2.25,3079,1.62,51.38,370764,190484,9,0,6029,3,2953,1.47,55.8,360564,201179
"2019-10-06 18:56:26","Guarda","Guarda","LOCAL-090000",4,0,242,242,1689,1.98,1987,2.32,52.29,163462,85469,4,0,2242,2.41,1749,1.88,53.87,172396,92869
"2019-10-06 18:56:26","Leiria","Leiria","LOCAL-100000",10,0,110,110,6902,2.89,4699,1.97,56.26,423801,238433,10,0,8585,3.45,3911,1.57,58.5,425014,248642
"2019-10-06 18:56:26","Lisboa","Lisboa","LOCAL-110000",47,0,134,134,22176,1.92,17112,1.49,60.6,1900982,1152050,47,0,31132,2.66,15830,1.35,62.19,1880814,1169598
"2019-10-06 18:56:26","Madeira","Madeira","LOCAL-300000",6,0,54,54,1018,0.81,3597,2.88,48.9,255821,125104,6,0,1655,1.19,3041,2.19,54.31,255928,139003
"2019-10-06 18:56:26","Portalegre","Portalegre","LOCAL-120000",2,0,69,69,1130,1.92,896,1.52,58.31,101189,59004,2,0,1536,2.49,817,1.33,57.87,106444,61598
"2019-10-06 18:56:26","Porto","Porto","LOCAL-130000",39,0,243,243,18902,1.97,14073,1.47,60.3,1591787,959919,39,0,24723,2.49,12289,1.24,63.22,1570611,993006
"2019-10-06 18:56:26","Santarém","Santarém","LOCAL-140000",9,0,141,141,5142,2.26,3967,1.74,57.87,393314,227620,10,0,7056,2.97,3506,1.48,58.95,402597,237332
"2019-10-06 18:56:26","Setúbal","Setúbal","LOCAL-150000",18,0,55,55,7261,1.71,6183,1.46,58.33,726049,423500,17,0,10742,2.55,5818,1.38,59.17,712133,421387
"2019-10-06 18:56:26","Viana do Castelo","Viana do Castelo","LOCAL-160000",6,0,208,208,3228,2.51,2141,1.67,50.74,253219,128488,6,0,4004,2.97,1740,1.29,52.46,257155,134902
"2019-10-06 18:56:26","Vila Real","Vila Real","LOCAL-170000",5,0,197,197,1919,1.74,1960,1.78,48.26,228497,110273,5,0,2043,1.71,1471,1.23,50.75,235558,119549
"2019-10-06 18:56:26","Viseu","Viseu","LOCAL-180000",9,0,277,277,4235,2.22,3632,1.9,51.28,371931,190712,9,0,5178,2.55,3025,1.49,53.48,379142,202754
"2019-10-06 19:00:02","Território Nacional","Território Nacional","LOCAL-500000",226,0,3092,3092,112666,2.09,86473,1.61,57,9439701,5380451,226,0,148118,2.67,75298,1.36,58.92,9429024,5555535
