"time","territoryFullName","territoryName","territoryKey","totalMandates","availableMandates","numParishes","numParishesApproved","blankVotes","blankVotesPercentage","nullVotes","nullVotesPercentage","votersPercentage","subscribedVoters","totalVoters","pre.totalMandates","pre.availableMandates","pre.blankVotes","pre.blankVotesPercentage","pre.nullVotes","pre.nullVotesPercentage","pre.votersPercentage","pre.subscribedVoters","pre.totalVoters","Council","District"
"2019-12-03 11:13:36","Aguada de Cima","Aguada de Cima","LOCAL-010103",NA,0,1,1,54,3.07,34,1.93,47.14,3729,1758,NA,0,48,2.65,22,1.21,48.99,3703,1814,"Águeda","Aveiro"
"2019-12-03 11:13:36","Fermentelos","Fermentelos","LOCAL-010109",NA,0,1,1,53,3.33,32,2.01,56.09,2840,1593,NA,0,47,2.73,15,0.87,60.27,2854,1720,"Águeda","Aveiro"
"2019-12-03 11:13:36","Macinhata do Vouga","Macinhata do Vouga","LOCAL-010112",NA,0,1,1,57,3.81,26,1.74,49.8,3008,1498,NA,0,40,2.51,19,1.19,51.67,3081,1592,"Águeda","Aveiro"
"2019-12-03 11:13:36","Valongo do Vouga","Valongo do Vouga","LOCAL-010119",NA,0,1,1,88,3.93,37,1.65,51.67,4329,2237,NA,0,68,2.89,36,1.53,53.96,4361,2353,"Águeda","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Águeda e Borralha","Águeda e Borralha","LOCAL-010121",NA,0,1,1,209,3.2,103,1.58,53.56,12178,6523,NA,0,208,3.04,85,1.24,55.38,12373,6852,"Águeda","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Barrô e Aguada de Baixo","Barrô e Aguada de Baixo","LOCAL-010122",NA,0,1,1,66,4.45,21,1.42,49.65,2985,1482,NA,0,60,3.75,26,1.63,52,3077,1600,"Águeda","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão","Belazaima do Chão, Castanheira do Vouga e Agadão","LOCAL-010123",NA,0,1,1,33,4.3,11,1.43,56.47,1360,768,NA,0,38,4.22,9,1,61.5,1465,901,"Águeda","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Recardães e Espinhel","Recardães e Espinhel","LOCAL-010124",NA,0,1,1,113,3.81,73,2.46,55.19,5374,2966,NA,0,119,3.74,49,1.54,58.21,5460,3178,"Águeda","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Travassô e Óis da Ribeira","Travassô e Óis da Ribeira","LOCAL-010125",NA,0,1,1,41,3.24,20,1.58,62.73,2015,1264,NA,0,55,4.35,14,1.11,60.32,2094,1263,"Águeda","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Trofa, Segadães e Lamas do Vouga","Trofa, Segadães e Lamas do Vouga","LOCAL-010126",NA,0,1,1,68,3.02,28,1.24,55.09,4086,2251,NA,0,59,2.44,31,1.28,58.6,4123,2416,"Águeda","Aveiro"
"2019-12-03 11:13:36","União das freguesias do Préstimo e Macieira de Alcoba","Préstimo e Macieira de Alcoba","LOCAL-010127",NA,0,1,1,10,2.45,8,1.96,51.45,793,408,NA,0,11,2.46,9,2.01,52.46,854,448,"Águeda","Aveiro"
"2019-12-03 11:13:36","Alquerubim","Alquerubim","LOCAL-010202",NA,0,1,1,28,2.69,30,2.89,50.68,2050,1039,NA,0,19,1.76,18,1.66,51.84,2087,1082,"Albergaria-a-Velha","Aveiro"
"2019-12-03 11:13:36","Angeja","Angeja","LOCAL-010203",NA,0,1,1,31,3.12,24,2.42,54.44,1824,993,NA,0,29,2.64,31,2.82,57.01,1926,1098,"Albergaria-a-Velha","Aveiro"
"2019-12-03 11:13:36","Branca","Branca","LOCAL-010204",NA,0,1,1,61,2.27,39,1.45,54.28,4961,2693,NA,0,51,1.8,49,1.73,56.11,5038,2827,"Albergaria-a-Velha","Aveiro"
"2019-12-03 11:13:36","Ribeira de Fráguas","Ribeira de Fráguas","LOCAL-010206",NA,0,1,1,31,3.52,18,2.04,59.81,1473,881,NA,0,31,3.31,19,2.03,59.49,1575,937,"Albergaria-a-Velha","Aveiro"
"2019-12-03 11:13:36","Albergaria-a-Velha e Valmaior","Albergaria-a-Velha e Valmaior","LOCAL-010209",NA,0,1,1,144,2.87,87,1.73,51.8,9703,5026,NA,0,142,2.82,95,1.88,52.54,9598,5043,"Albergaria-a-Velha","Aveiro"
"2019-12-03 11:13:36","São João de Loure e Frossos","São João de Loure e Frossos","LOCAL-010210",NA,0,1,1,42,2.87,31,2.12,57.82,2532,1464,NA,0,46,2.99,27,1.75,59.38,2592,1539,"Albergaria-a-Velha","Aveiro"
"2019-12-03 11:13:36","Avelãs de Caminho","Avelãs de Caminho","LOCAL-010304",NA,0,1,1,13,2.34,12,2.16,50.18,1106,555,NA,0,27,4.58,16,2.72,49.75,1184,589,"Anadia","Aveiro"
"2019-12-03 11:13:36","Avelãs de Cima","Avelãs de Cima","LOCAL-010305",NA,0,1,1,37,3.63,22,2.16,53.66,1897,1018,NA,0,27,2.35,17,1.48,56.69,2025,1148,"Anadia","Aveiro"
"2019-12-03 11:13:36","Moita","Moita","LOCAL-010307",NA,0,1,1,30,2.64,23,2.02,52.11,2184,1138,NA,0,34,2.78,31,2.53,53.71,2277,1223,"Anadia","Aveiro"
"2019-12-03 11:13:36","Sangalhos","Sangalhos","LOCAL-010309",NA,0,1,1,84,4.56,30,1.63,50.52,3648,1843,NA,0,85,4.03,33,1.57,54.67,3856,2108,"Anadia","Aveiro"
