"time","District","Party","Mandates","Percentage","validVotesPercentage","Votes"
2019-10-06 18:56:26,"Território Nacional","PPD/PSD.CDS-PP",99,36.83,38.24,1981459
2019-10-06 18:56:26,"Território Nacional","PS",85,32.38,33.62,1742012
2019-10-06 18:56:26,"Território Nacional","B.E.",19,10.22,10.61,549878
2019-10-06 18:56:26,"Território Nacional","PCP-PEV",17,8.27,8.59,444955
2019-10-06 18:56:26,"Território Nacional","PPD/PSD",5,1.51,1.56,81054
2019-10-06 18:56:26,"Território Nacional","PAN",1,1.39,1.44,74752
2019-10-06 18:56:26,"Território Nacional","PDR",0,1.13,1.18,60998
2019-10-06 18:56:26,"Território Nacional","PCTP/MRPP",0,1.11,1.15,59838
2019-10-06 18:56:26,"Território Nacional","L/TDA",0,0.72,0.75,39008
2019-10-06 18:56:26,"Território Nacional","PNR",0,0.5,0.52,27141
2019-10-06 18:56:26,"Território Nacional","MPT",0,0.42,0.43,22416
2019-10-06 18:56:26,"Território Nacional","PTP-MAS",0,0.38,0.4,20709
2019-10-06 18:56:26,"Território Nacional","NC",0,0.35,0.36,18722
2019-10-06 18:56:26,"Território Nacional","PPM",0,0.28,0.29,14805
2019-10-06 18:56:26,"Território Nacional","JPP",0,0.26,0.27,14204
2019-10-06 18:56:26,"Território Nacional","PURP",0,0.26,0.27,13764
2019-10-06 18:56:26,"Território Nacional","CDS-PP",0,0.14,0.15,7536
2019-10-06 18:56:26,"Território Nacional","CDS-PP.PPM",0,0.07,0.07,3654
2019-10-06 18:56:26,"Território Nacional","PPV/CDC",0,0.05,0.05,2659
2019-10-06 18:56:26,"Território Nacional","PTP",0,0.03,0.03,1748
2019-10-06 18:56:26,"Açores","PS",3,40.37,42.47,37869
2019-10-06 18:56:26,"Açores","PPD/PSD",2,36.06,37.93,33826
2019-10-06 18:56:26,"Açores","B.E.",0,7.81,8.22,7330
2019-10-06 18:56:26,"Açores","CDS-PP.PPM",0,3.9,4.1,3654
2019-10-06 18:56:26,"Açores","PCP-PEV",0,2.47,2.6,2320
2019-10-06 18:56:26,"Açores","PAN",0,0.87,0.91,815
2019-10-06 18:56:26,"Açores","NC",0,0.82,0.86,766
2019-10-06 18:56:26,"Açores","PCTP/MRPP",0,0.64,0.67,601
2019-10-06 18:56:26,"Açores","PDR",0,0.54,0.57,511
2019-10-06 18:56:26,"Açores","PURP",0,0.37,0.39,346
2019-10-06 18:56:26,"Açores","L/TDA",0,0.35,0.37,332
2019-10-06 18:56:26,"Açores","PTP-MAS",0,0.34,0.36,319
2019-10-06 18:56:26,"Açores","MPT",0,0.32,0.34,299
2019-10-06 18:56:26,"Açores","PNR",0,0.2,0.21,185
2019-10-06 18:56:26,"Aveiro","PPD/PSD.CDS-PP",10,48.14,50.23,177185
2019-10-06 18:56:26,"Aveiro","PS",5,27.91,29.12,102726
2019-10-06 18:56:26,"Aveiro","B.E.",1,9.6,10.01,35327
2019-10-06 18:56:26,"Aveiro","PCP-PEV",0,4.36,4.55,16038
2019-10-06 18:56:26,"Aveiro","PDR",0,1.24,1.29,4548
2019-10-06 18:56:26,"Aveiro","PAN",0,0.97,1.01,3573
2019-10-06 18:56:26,"Aveiro","PCTP/MRPP",0,0.89,0.93,3280
2019-10-06 18:56:26,"Aveiro","PNR",0,0.46,0.48,1698
2019-10-06 18:56:26,"Aveiro","L/TDA",0,0.45,0.47,1660
2019-10-06 18:56:26,"Aveiro","MPT",0,0.36,0.38,1325
2019-10-06 18:56:26,"Aveiro","PPM",0,0.35,0.37,1292
2019-10-06 18:56:26,"Aveiro","PTP-MAS",0,0.34,0.36,1253
2019-10-06 18:56:26,"Aveiro","NC",0,0.27,0.29,1006
2019-10-06 18:56:26,"Aveiro","PPV/CDC",0,0.21,0.22,785
2019-10-06 18:56:26,"Aveiro","PURP",0,0.17,0.18,634
2019-10-06 18:56:26,"Aveiro","JPP",0,0.12,0.13,448
2019-10-06 18:56:26,"Beja","PS",1,37.29,38.51,27775
2019-10-06 18:56:26,"Beja","PCP-PEV",1,24.96,25.78,18592
2019-10-06 18:56:26,"Beja","PPD/PSD.CDS-PP",1,20.11,20.77,14980
2019-10-06 18:56:26,"Beja","B.E.",0,8.2,8.46,6105
2019-10-06 18:56:26,"Beja","PCTP/MRPP",0,2.61,2.7,1945
2019-10-06 18:56:26,"Beja","PAN",0,0.82,0.84,608
2019-10-06 18:56:26,"Beja","PDR",0,0.47,0.49,351
2019-10-06 18:56:26,"Beja","PURP",0,0.46,0.47,340
2019-10-06 18:56:26,"Beja","PNR",0,0.37,0.38,275
2019-10-06 18:56:26,"Beja","L/TDA",0,0.36,0.38,271
2019-10-06 18:56:26,"Beja","MPT",0,0.33,0.34,248
2019-10-06 18:56:26,"Beja","PPM",0,0.26,0.27,192
2019-10-06 18:56:26,"Beja","PTP-MAS",0,0.26,0.27,193
2019-10-06 18:56:26,"Beja","NC",0,0.21,0.22,160
2019-10-06 18:56:26,"Beja","JPP",0,0.12,0.12,88
2019-10-06 18:56:26,"Braga","PPD/PSD.CDS-PP",10,45.61,47.29,216357
2019-10-06 18:56:26,"Braga","PS",7,30.87,32,146412
2019-10-06 18:56:26,"Braga","B.E.",1,8.8,9.12,41745
2019-10-06 18:56:26,"Braga","PCP-PEV",1,5.19,5.38,24632
2019-10-06 18:56:26,"Braga","PDR",0,1.58,1.64,7500
2019-10-06 18:56:26,"Braga","PCTP/MRPP",0,1.15,1.19,5436
2019-10-06 18:56:26,"Braga","PAN",0,0.78,0.8,3682
2019-10-06 18:56:26,"Braga","L/TDA",0,0.49,0.51,2333
2019-10-06 18:56:26,"Braga","PNR",0,0.39,0.4,1836
2019-10-06 18:56:26,"Braga","MPT",0,0.34,0.35,1604
2019-10-06 18:56:26,"Braga","PTP-MAS",0,0.34,0.35,1620
2019-10-06 18:56:26,"Braga","PPV/CDC",0,0.21,0.22,993
2019-10-06 18:56:26,"Braga","NC",0,0.2,0.21,972
2019-10-06 18:56:26,"Braga","PPM",0,0.19,0.19,884
2019-10-06 18:56:26,"Braga","PURP",0,0.19,0.19,878
2019-10-06 18:56:26,"Braga","JPP",0,0.13,0.14,637
2019-10-06 18:56:26,"Bragança","PPD/PSD.CDS-PP",2,49.41,51.32,34408
2019-10-06 18:56:26,"Bragança","PS",1,34.06,35.38,23718
2019-10-06 18:56:26,"Bragança","B.E.",0,5.54,5.75,3858
2019-10-06 18:56:26,"Bragança","PCP-PEV",0,3.07,3.19,2136
2019-10-06 18:56:26,"Bragança","PDR",0,0.78,0.81,546
2019-10-06 18:56:26,"Bragança","PCTP/MRPP",0,0.77,0.8,537
2019-10-06 18:56:26,"Bragança","PAN",0,0.55,0.58,386
2019-10-06 18:56:26,"Bragança","PTP-MAS",0,0.41,0.42,284
2019-10-06 18:56:26,"Bragança","L/TDA",0,0.36,0.37,251
2019-10-06 18:56:26,"Bragança","PPM",0,0.33,0.34,229
2019-10-06 18:56:26,"Bragança","MPT",0,0.32,0.33,223
2019-10-06 18:56:26,"Bragança","PNR",0,0.27,0.28,190
2019-10-06 18:56:26,"Bragança","NC",0,0.23,0.24,160
2019-10-06 18:56:26,"Bragança","JPP",0,0.17,0.18,121
2019-10-06 18:56:26,"Castelo Branco","PS",2,38.86,40.52,40502
2019-10-06 18:56:26,"Castelo Branco","PPD/PSD.CDS-PP",2,35.31,36.82,36803
2019-10-06 18:56:26,"Castelo Branco","B.E.",0,10.03,10.45,10450
2019-10-06 18:56:26,"Castelo Branco","PCP-PEV",0,6.03,6.29,6286
2019-10-06 18:56:26,"Castelo Branco","PCTP/MRPP",0,1.04,1.08,1080
2019-10-06 18:56:26,"Castelo Branco","PDR",0,1.04,1.09,1086
2019-10-06 18:56:26,"Castelo Branco","PAN",0,0.83,0.86,860
2019-10-06 18:56:26,"Castelo Branco","L/TDA",0,0.49,0.51,507
2019-10-06 18:56:26,"Castelo Branco","PNR",0,0.49,0.51,508
2019-10-06 18:56:26,"Castelo Branco","PPM",0,0.48,0.5,496
2019-10-06 18:56:26,"Castelo Branco","MPT",0,0.45,0.47,474
2019-10-06 18:56:26,"Castelo Branco","PTP-MAS",0,0.36,0.37,374
2019-10-06 18:56:26,"Castelo Branco","NC",0,0.26,0.27,267
2019-10-06 18:56:26,"Castelo Branco","PURP",0,0.26,0.27,272
2019-10-06 18:56:26,"Coimbra","PPD/PSD.CDS-PP",4,37.18,38.85,81882
2019-10-06 18:56:26,"Coimbra","PS",4,35.28,36.86,77684
2019-10-06 18:56:26,"Coimbra","B.E.",1,9.89,10.33,21780
2019-10-06 18:56:26,"Coimbra","PCP-PEV",0,7.03,7.34,15476
2019-10-06 18:56:26,"Coimbra","PDR",0,1.64,1.72,3615
2019-10-06 18:56:26,"Coimbra","PAN",0,0.98,1.03,2165
2019-10-06 18:56:26,"Coimbra","PCTP/MRPP",0,0.86,0.9,1889
2019-10-06 18:56:26,"Coimbra","L/TDA",0,0.59,0.61,1292
2019-10-06 18:56:26,"Coimbra","PNR",0,0.5,0.52,1097
2019-10-06 18:56:26,"Coimbra","PTP-MAS",0,0.49,0.51,1081
2019-10-06 18:56:26,"Coimbra","MPT",0,0.39,0.41,854
2019-10-06 18:56:26,"Coimbra","NC",0,0.31,0.32,683
2019-10-06 18:56:26,"Coimbra","PPM",0,0.24,0.25,525
2019-10-06 18:56:26,"Coimbra","PURP",0,0.2,0.21,451
2019-10-06 18:56:26,"Coimbra","JPP",0,0.12,0.13,272
2019-10-06 18:56:26,"Évora","PS",1,37.47,38.61,31705
2019-10-06 18:56:26,"Évora","PPD/PSD.CDS-PP",1,23.96,24.69,20275
2019-10-06 18:56:26,"Évora","PCP-PEV",1,21.94,22.61,18567
2019-10-06 18:56:26,"Évora","B.E.",0,8.64,8.9,7312
2019-10-06 18:56:26,"Évora","PCTP/MRPP",0,1.47,1.52,1245
2019-10-06 18:56:26,"Évora","PAN",0,0.85,0.88,723
2019-10-06 18:56:26,"Évora","PDR",0,0.52,0.54,443
2019-10-06 18:56:26,"Évora","PPM",0,0.43,0.44,363
2019-10-06 18:56:26,"Évora","L/TDA",0,0.42,0.43,356
2019-10-06 18:56:26,"Évora","PNR",0,0.33,0.34,280
2019-10-06 18:56:26,"Évora","MPT",0,0.29,0.29,242
2019-10-06 18:56:26,"Évora","NC",0,0.26,0.26,216
2019-10-06 18:56:26,"Évora","PTP-MAS",0,0.26,0.27,224
2019-10-06 18:56:26,"Évora","PURP",0,0.2,0.2,166
2019-10-06 18:56:26,"Faro","PS",4,32.77,34.09,62422
2019-10-06 18:56:26,"Faro","PPD/PSD.CDS-PP",3,31.47,32.74,59950
2019-10-06 18:56:26,"Faro","B.E.",1,14.13,14.7,26922
2019-10-06 18:56:26,"Faro","PCP-PEV",1,8.68,9.03,16539
2019-10-06 18:56:26,"Faro","PAN",0,1.99,2.07,3783
2019-10-06 18:56:26,"Faro","PCTP/MRPP",0,1.58,1.64,3012
2019-10-06 18:56:26,"Faro","PDR",0,1.2,1.25,2293
2019-10-06 18:56:26,"Faro","L/TDA",0,0.75,0.78,1435
2019-10-06 18:56:26,"Faro","PNR",0,0.71,0.73,1343
2019-10-06 18:56:26,"Faro","NC",0,0.7,0.73,1337
2019-10-06 18:56:26,"Faro","MPT",0,0.64,0.67,1222
2019-10-06 18:56:26,"Faro","PTP-MAS",0,0.64,0.67,1220
2019-10-06 18:56:26,"Faro","PURP",0,0.47,0.48,886
