"District","Party","Percentage","validVotesPercentage","Votes","Council","District"
"Aguada de Cima","PPD/PSD",40.39,42.51,710,"Águeda","Aveiro"
"Aguada de Cima","PS",33.33,35.09,586,"Águeda","Aveiro"
"Aguada de Cima","B.E.",8.25,8.68,145,"Águeda","Aveiro"
"Aguada de Cima","CDS-PP",4.04,4.25,71,"Águeda","Aveiro"
"Aguada de Cima","PAN",2.16,2.28,38,"Águeda","Aveiro"
"Aguada de Cima","PCP-PEV",1.54,1.62,27,"Águeda","Aveiro"
"Aguada de Cima","A",0.97,1.02,17,"Águeda","Aveiro"
"Aguada de Cima","R.I.R.",0.85,0.9,15,"Águeda","Aveiro"
"Aguada de Cima","IL",0.74,0.78,13,"Águeda","Aveiro"
"Aguada de Cima","CH",0.63,0.66,11,"Águeda","Aveiro"
"Aguada de Cima","L",0.46,0.48,8,"Águeda","Aveiro"
"Aguada de Cima","NC",0.34,0.36,6,"Águeda","Aveiro"
"Aguada de Cima","PTP",0.28,0.3,5,"Águeda","Aveiro"
"Aguada de Cima","PNR",0.23,0.24,4,"Águeda","Aveiro"
"Aguada de Cima","PURP",0.23,0.24,4,"Águeda","Aveiro"
"Aguada de Cima","PCTP/MRPP",0.17,0.18,3,"Águeda","Aveiro"
"Aguada de Cima","PDR",0.17,0.18,3,"Águeda","Aveiro"
"Aguada de Cima","MPT",0.11,0.12,2,"Águeda","Aveiro"
"Aguada de Cima","JPP",0.06,0.06,1,"Águeda","Aveiro"
"Aguada de Cima","PPM",0.06,0.06,1,"Águeda","Aveiro"
"Fermentelos","PPD/PSD",52.29,55.24,833,"Águeda","Aveiro"
"Fermentelos","PS",15.76,16.64,251,"Águeda","Aveiro"
"Fermentelos","CDS-PP",11.93,12.6,190,"Águeda","Aveiro"
"Fermentelos","B.E.",7.47,7.89,119,"Águeda","Aveiro"
"Fermentelos","PAN",1.76,1.86,28,"Águeda","Aveiro"
"Fermentelos","PCP-PEV",1.38,1.46,22,"Águeda","Aveiro"
"Fermentelos","IL",1.13,1.19,18,"Águeda","Aveiro"
"Fermentelos","A",0.75,0.8,12,"Águeda","Aveiro"
"Fermentelos","R.I.R.",0.5,0.53,8,"Águeda","Aveiro"
"Fermentelos","CH",0.38,0.4,6,"Águeda","Aveiro"
"Fermentelos","PCTP/MRPP",0.31,0.33,5,"Águeda","Aveiro"
"Fermentelos","L",0.19,0.2,3,"Águeda","Aveiro"
"Fermentelos","MPT",0.19,0.2,3,"Águeda","Aveiro"
"Fermentelos","NC",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PNR",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PPM",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PTP",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PDR",0.06,0.07,1,"Águeda","Aveiro"
"Fermentelos","PURP",0.06,0.07,1,"Águeda","Aveiro"
"Fermentelos","JPP",0,0,0,"Águeda","Aveiro"
"Macinhata do Vouga","PS",38.05,40.28,570,"Águeda","Aveiro"
"Macinhata do Vouga","PPD/PSD",29.77,31.52,446,"Águeda","Aveiro"
"Macinhata do Vouga","B.E.",10.01,10.6,150,"Águeda","Aveiro"
"Macinhata do Vouga","CDS-PP",5.07,5.37,76,"Águeda","Aveiro"
"Macinhata do Vouga","PCP-PEV",3.2,3.39,48,"Águeda","Aveiro"
